iter	Passed	Remaining
1433	13194	32810
1434	13203	32801
1435	13212	32791
1436	13220	32779
1437	13229	32769
1438	13238	32760
1439	13247	32749
1440	13255	32739
1441	13264	32729
1442	13273	32719
1443	13282	32710
1444	13291	32699
1445	13300	32689
1446	13309	32680
1447	13319	32672
1448	13327	32661
1449	13336	32651
1450	13345	32641
1451	13354	32631
1452	13362	32621
1453	13371	32610
1454	13380	32600
1455	13389	32590
1456	13399	32583
1457	13408	32572
1458	13417	32563
1459	13426	32555
1460	13435	32545
1461	13444	32535
1462	13453	32526
1463	13463	32517
1464	13472	32508
1465	13481	32499
1466	13490	32489
1467	13499	32479
1468	13508	32470
1469	13517	32460
1470	13526	32449
1471	13535	32441
1472	13544	32430
1473	13553	32420
1474	13561	32410
1475	13570	32400
1476	13579	32389
1477	13587	32379
1478	13596	32368
1479	13605	32358
1480	13614	32349
1481	13623	32338
1482	13631	32328
1483	13640	32318
1484	13649	32308
1485	13658	32297
1486	13667	32288
1487	13677	32281
1488	13686	32272
1489	13695	32262
1490	13705	32254
1491	13713	32244
1492	13722	32233
1493	13731	32224
1494	13740	32214
1495	13749	32203
1496	13757	32193
1497	13766	32183
1498	13775	32173
1499	13783	32162
1500	13792	32152
1501	13801	32142
1502	13810	32133
1503	13819	32123
1504	13828	32112
1505	13837	32104
1506	13846	32094
1507	13855	32083
1508	13865	32077
1509	13875	32069
1510	13885	32061
1511	13893	32051
1512	13902	32041
1513	13912	32033
1514	13921	32024
1515	13930	32014
1516	13939	32005
1517	13948	31994
1518	13957	31984
1519	13965	31974
1520	13974	31964
1521	13983	31953
1522	13991	31943
1523	14000	31932
1524	14009	31922
1525	14017	31912
1526	14026	31902
1527	14035	31893
1528	14044	31882
1529	14054	31875
1530	14063	31865
1531	14071	31854
1532	14081	31846
1533	14090	31836
1534	14099	31826
1535	14107	31815
1536	14117	31808
1537	14126	31799
1538	14135	31789
1539	14144	31778
1540	14153	31769
1541	14161	31758
1542	14170	31748
1543	14179	31737
1544	14187	31727
1545	14197	31718
1546	14206	31708
1547	14214	31698
1548	14223	31688
1549	14232	31677
1550	14240	31668
1551	14249	31657
1552	14258	31648
1553	14267	31637
1554	14276	31627
1555	14285	31618
1556	14294	31608
1557	14303	31599
1558	14312	31589
1559	14320	31579
1560	14329	31568
1561	14338	31558
1562	14346	31548
1563	14355	31537
1564	14364	31528
1565	14373	31518
1566	14382	31508
1567	14390	31498
1568	14399	31488
1569	14409	31480
1570	14418	31470
1571	14427	31461
1572	14436	31452
1573	14447	31447
1574	14456	31437
1575	14465	31426
1576	14474	31417
1577	14484	31410
1578	14493	31401
1579	14502	31390
1580	14511	31380
1581	14520	31371
1582	14529	31363
1583	14538	31353
1584	14548	31345
1585	14557	31335
1586	14565	31325
1587	14574	31314
1588	14582	31304
1589	14591	31294
1590	14601	31285
1591	14611	31279
1592	14620	31269
1593	14629	31258
1594	14637	31248
1595	14646	31238
1596	14655	31228
1597	14664	31218
1598	14672	31208
1599	14681	31197
1600	14690	31188
1601	14699	31178
1602	14707	31168
1603	14716	31158
1604	14725	31147
1605	14733	31137
1606	14742	31127
1607	14751	31116
1608	14759	31106
1609	14769	31099
1610	14778	31089
1611	14787	31078
1612	14795	31068
1613	14804	31057
1614	14813	31048
1615	14822	31038
1616	14830	31028
1617	14839	31018
1618	14848	31007
1619	14856	30997
1620	14865	30986
1621	14873	30976
1622	14882	30966
1623	14892	30958
1624	14901	30949
1625	14910	30940
1626	14919	30929
1627	14927	30919
1628	14936	30909
1629	14946	30902
1630	14955	30892
1631	14964	30882
1632	14975	30876
1633	14983	30865
1634	14992	30855
1635	15000	30845
1636	15009	30835
1637	15018	30824
1638	15026	30814
1639	15035	30804
1640	15044	30794
1641	15052	30784
1642	15061	30774
1643	15070	30763
1644	15078	30753
1645	15087	30744
1646	15096	30733
1647	15105	30723
1648	15115	30716
1649	15123	30705
1650	15132	30695
1651	15141	30685
1652	15149	30675
1653	15158	30665
1654	15167	30655
1655	15177	30648
1656	15185	30637
1657	15194	30627
1658	15203	30616
1659	15213	30609
1660	15222	30600
1661	15230	30590
1662	15241	30583
1663	15250	30573
1664	15258	30562
1665	15266	30552
1666	15275	30542
1667	15284	30532
1668	15293	30523
1669	15302	30513
